game_number,opponent,location,result,goals_for,goals_against,points_game,points_total
1,Royston I,A,L,0,5,0,0
2,Broxbourne III,A,L,1,3,0,0
3,Rickmansworth I,H,L,0,1,0,0
4,Potters Bar II,A,L,2,9,0,0
5,Blueharts III,H,L,3,9,0,0
6,Hertford II,A,D,2,2,1,1
7,Southgate Adelaide I,H,W,4,0,3,4
8,St Albans IV,A,W,3,2,3,7
9,Vauxhall I,H,W,4,0,3,10
10,Blueharts IV,H,W,6,2,3,13
11,Harpenden II,A,D,2,2,1,14
12,Rickmansworth I,H,W,4,3,3,17
13,Potters Bar II,H,W,2,1,3,20
14,Blueharts III,A,L,0,6,0,20
15,Hertford II,H,W,2,1,3,23
16,Southgate Adelaide I,A,W,2,1,3,26
17,Royston I,A,W,6,1,3,29
18,St Albans IV,H,L,2,3,0,32
19,Harpenden II,H,W,4,0,3,32
20,Blueharts IV,A,W,2,1,3,35
21,Broxbourne III,H,W,6,4,3,38
22,Vauxhall I,A,W,1,0,3,41
